ticker,segment,stat,cv,reject,n_ep,config,alpha
ASML,1. Semiconductor Equipment,1.9961935063779255,2.860202222857005,False,0,A3_alpha99,0.99
AMAT,1. Semiconductor Equipment,2.217708473470351,2.860202222857005,False,2,A3_alpha99,0.99
LRCX,1. Semiconductor Equipment,4.522694891777681,2.860202222857005,True,1,A3_alpha99,0.99
NVDA,2. Chip Design (AI accelerators),6.340155291518158,2.860202222857005,True,3,A3_alpha99,0.99
AMD,2. Chip Design (AI accelerators),2.9018145370953694,2.860202222857005,True,0,A3_alpha99,0.99
INTC,2. Chip Design (AI accelerators),3.894274122085147,2.860202222857005,True,0,A3_alpha99,0.99
AVGO,2. Chip Design (AI accelerators),4.0022831668335215,2.860202222857005,True,2,A3_alpha99,0.99
MRVL,2. Chip Design (AI accelerators),3.602804832793447,2.860202222857005,True,0,A3_alpha99,0.99
MU,3. Memory (HBM-relevant),7.8633776042172165,2.860202222857005,True,2,A3_alpha99,0.99
TSM,4. Foundry (leading-edge),2.9229963187959465,2.860202222857005,True,1,A3_alpha99,0.99
WDC,5. Storage (non-HBM control),8.494036052944061,2.860202222857005,True,1,A3_alpha99,0.99
STX,5. Storage (non-HBM control),7.94354458249899,2.860202222857005,True,1,A3_alpha99,0.99
ANET,6. Data-Centre Networking & Optical,3.0351797639065077,2.860202222857005,True,1,A3_alpha99,0.99
CSCO,6. Data-Centre Networking & Optical,1.37308800679829,2.860202222857005,False,0,A3_alpha99,0.99
NOK,6. Data-Centre Networking & Optical,5.1410309300239,2.860202222857005,True,0,A3_alpha99,0.99
CIEN,6. Data-Centre Networking & Optical,7.936650190042857,2.860202222857005,True,1,A3_alpha99,0.99
EQIX,7. Data-Centre REITs (colocation & build-out),1.5452993927061522,2.860202222857005,False,0,A3_alpha99,0.99
DLR,7. Data-Centre REITs (colocation & build-out),1.1136786853565857,2.860202222857005,False,0,A3_alpha99,0.99
MSFT,8. Hyperscale Cloud,2.568293304112563,2.860202222857005,False,0,A3_alpha99,0.99
AMZN,8. Hyperscale Cloud,2.317856612653562,2.860202222857005,False,0,A3_alpha99,0.99
GOOGL,8. Hyperscale Cloud,2.746351596690522,2.860202222857005,False,1,A3_alpha99,0.99
META,8. Hyperscale Cloud,2.1399076090792866,2.860202222857005,False,0,A3_alpha99,0.99
ORCL,8. Hyperscale Cloud,3.494468345966319,2.860202222857005,True,1,A3_alpha99,0.99
IBM,9. Enterprise AI / Hybrid Cloud,2.690892816903042,2.860202222857005,False,1,A3_alpha99,0.99
PLTR,10. Application & AI Platform Software,6.718237854392863,2.72495788197333,True,1,A3_alpha99,0.99
SNOW,10. Application & AI Platform Software,0.9728535132491414,2.725537749716364,False,0,A3_alpha99,0.99
DDOG,10. Application & AI Platform Software,1.9443146733254326,2.860698323883444,False,0,A3_alpha99,0.99
AI,10. Application & AI Platform Software,4.332648819936443,2.724957881973333,True,0,A3_alpha99,0.99
QCOM,11. Edge AI & Devices,2.1397640486838263,2.860202222857005,False,0,A3_alpha99,0.99
AAPL,11. Edge AI & Devices,2.4317073199020496,2.860202222857005,False,0,A3_alpha99,0.99
TSLA,11. Edge AI & Devices,7.83321874592293,2.860202222857005,True,1,A3_alpha99,0.99
CRWV,P. Specialised AI Cloud (neoclouds),3.306980048561014,2.685078676916131,True,0,A3_alpha99,0.99
NBIS,P. Specialised AI Cloud (neoclouds),1.8545783513512324,2.676760411210544,False,0,A3_alpha99,0.99
CEG,P. Power & Grid (data-centre electricity),3.05019858755069,2.830868713193889,True,1,A3_alpha99,0.99
VST,P. Power & Grid (data-centre electricity),8.49218639224872,2.8606983238834256,True,1,A3_alpha99,0.99
ASX,P. Advanced Packaging (pure-play),6.1279919119149495,2.8606983238834256,True,1,A3_alpha99,0.99
USO,C. AI-relevant: Energy (DC power proxy),4.785322891928645,2.860202222857005,True,0,A3_alpha99,0.99
UNG,C. AI-relevant: Energy (DC power proxy),3.015538988982393,2.860202222857005,True,0,A3_alpha99,0.99
BNO,C. AI-relevant: Energy (DC power proxy),5.11292428875649,2.860202222857005,True,0,A3_alpha99,0.99
JJC,C. AI-relevant: Industrial metals (hardware inputs),2.0420397669865373,2.860202222857005,False,1,A3_alpha99,0.99
PPLT,C. AI-relevant: Industrial metals (hardware inputs),5.4119974244134905,2.860202222857005,True,1,A3_alpha99,0.99
