ticker,segment,T,mw,stat,reject_90,reject_95,reject_99,n_ep_90,n_ep_95,n_ep_99,n_ep,reject,mw_scale,config
ASML,1. Semiconductor Equipment,1590,69,1.9961929785001453,False,False,False,3,2,0,2,False,0.8,A4_mw080
AMAT,1. Semiconductor Equipment,1590,69,2.2177097786931346,False,False,False,3,2,2,2,False,0.8,A4_mw080
LRCX,1. Semiconductor Equipment,1590,69,4.519077208552458,True,True,True,2,2,1,2,True,0.8,A4_mw080
NVDA,2. Chip Design (AI accelerators),1590,69,5.663879320096858,True,True,True,3,4,1,4,True,0.8,A4_mw080
AMD,2. Chip Design (AI accelerators),1590,69,3.3188326163453925,True,True,True,2,1,0,1,True,0.8,A4_mw080
INTC,2. Chip Design (AI accelerators),1590,69,3.894274122085147,True,True,True,1,0,0,0,True,0.8,A4_mw080
AVGO,2. Chip Design (AI accelerators),1590,69,3.5864657292731854,True,True,True,3,3,2,3,True,0.8,A4_mw080
MRVL,2. Chip Design (AI accelerators),1590,69,3.849761020532505,True,True,True,0,0,0,0,True,0.8,A4_mw080
MU,3. Memory (HBM-relevant),1590,69,7.564163227523366,True,True,True,3,3,3,3,True,0.8,A4_mw080
TSM,4. Foundry (leading-edge),1590,69,3.2523133427000808,True,True,True,3,4,1,4,True,0.8,A4_mw080
WDC,5. Storage (non-HBM control),1590,69,8.104057933556355,True,True,True,3,3,1,3,True,0.8,A4_mw080
STX,5. Storage (non-HBM control),1590,69,7.408187913658733,True,True,True,2,2,1,2,True,0.8,A4_mw080
ANET,6. Data-Centre Networking & Optical,1590,69,3.0351797639065126,True,True,True,3,2,2,2,True,0.8,A4_mw080
CSCO,6. Data-Centre Networking & Optical,1590,69,1.2759174629841665,False,False,False,3,1,0,1,False,0.8,A4_mw080
NOK,6. Data-Centre Networking & Optical,1590,69,5.141030846638883,True,True,True,1,0,0,0,True,0.8,A4_mw080
CIEN,6. Data-Centre Networking & Optical,1590,69,7.404115152757711,True,True,True,2,1,1,1,True,0.8,A4_mw080
EQIX,7. Data-Centre REITs (colocation & build-out),1590,69,1.6321216333906492,False,False,False,0,0,0,0,False,0.8,A4_mw080
DLR,7. Data-Centre REITs (colocation & build-out),1590,69,1.1136784685982544,False,False,False,0,0,0,0,False,0.8,A4_mw080
MSFT,8. Hyperscale Cloud,1590,69,0.8411026712906521,False,False,False,1,0,0,0,False,0.8,A4_mw080
AMZN,8. Hyperscale Cloud,1590,69,1.1075967744547284,False,False,False,2,0,0,0,False,0.8,A4_mw080
GOOGL,8. Hyperscale Cloud,1590,69,2.7463505388013743,True,True,False,2,2,1,2,True,0.8,A4_mw080
META,8. Hyperscale Cloud,1590,69,2.1399041557395115,False,False,False,3,2,0,2,False,0.8,A4_mw080
ORCL,8. Hyperscale Cloud,1590,69,3.494460995247394,True,True,True,4,4,1,4,True,0.8,A4_mw080
IBM,9. Enterprise AI / Hybrid Cloud,1590,69,2.6908885137199205,True,True,False,3,2,1,2,True,0.8,A4_mw080
